"account","userName","eventSource","eventName","calls"
"693590665244","AWSServiceRoleForResourceExplorer","kendra.amazonaws.com","ListIndices","23"
"693590665244","AWSServiceRoleForResourceExplorer","logs.amazonaws.com","DescribeLogGroups","22"
"362055466028","AWSServiceRoleForResourceExplorer","ec2.amazonaws.com","DescribeSecurityGroupRules","20"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetDetectors","20"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetVariables","20"
"693590665244","AWSServiceRoleForResourceExplorer","logs.amazonaws.com","DescribeResourcePolicies","19"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetExternalModels","19"
"151676528673","AWSServiceRoleForResourceExplorer","cloudcontrolapi.amazonaws.com","ListResources","19"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetEntityTypes","19"
"693590665244","AWSServiceRoleForResourceExplorer","logs.amazonaws.com","DescribeIndexPolicies","19"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetOutcomes","18"
"045107234435","GitHubActionsDeploymentRole-us-east-2-045107234435","sts.amazonaws.com","AssumeRole","18"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetModels","18"
"362055466028","AWSServiceRoleForResourceExplorer","elasticloadbalancing.amazonaws.com","DescribeLoadBalancers","18"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","logs.amazonaws.com","ListTagsForResource","18"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetEventTypes","17"
"362055466028","AWSServiceRoleForResourceExplorer","appmesh.amazonaws.com","ListMeshes","17"
"362055466028","AWSServiceRoleForResourceExplorer","frauddetector.amazonaws.com","GetLabels","17"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","cloudfront.amazonaws.com","GetDistribution","16"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","ecr.amazonaws.com","GetDownloadUrlForLayer","16"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","ecr.amazonaws.com","GetDownloadUrlForLayer","16"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","iam.amazonaws.com","GetRole","16"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","DescribeChangeSet","16"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetAccelerateConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketWebsite","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketCors","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketLifecycle","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketOwnershipControls","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketAnalyticsConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketNotification","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketReplication","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketMetadataTableConfiguration","15"
"651295191577","AWSServiceRoleForResourceExplorer","glue.amazonaws.com","GetDatabases","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketMetricsConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketPublicAccessBlock","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketLogging","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketVersioning","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketInventoryConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketObjectLockConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","ListTagsForResource","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","ssm.amazonaws.com","ListTagsForResource","15"
"651295191577","AWSServiceRoleForResourceExplorer","ec2.amazonaws.com","DescribeSecurityGroupRules","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketMetadataConfiguration","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketAbac","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketEncryption","15"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","s3.amazonaws.com","GetBucketIntelligentTieringConfiguration","15"
"151676528673","AWSServiceRoleForResourceExplorer","glue.amazonaws.com","GetDatabases","14"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","logs.amazonaws.com","ListTagsForResource","14"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","logs.amazonaws.com","DescribeLogGroups","14"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","lambda.amazonaws.com","GetLayerVersion20181031","14"
"693590665244","AWSServiceRoleForResourceExplorer","eks.amazonaws.com","ListEksAnywhereSubscriptions","14"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","ssm.amazonaws.com","GetParameters","14"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","logs.amazonaws.com","DescribeLogGroups","14"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","s3.amazonaws.com","GetBucketLifecycle","13"
